scc,level1,level2,level3,level4,ACES_fuel_category,SEDS_code,CO_emission_factor,CO_ef_units,CO2_emission_factor,CO2_ef_units
10100101,External Combustion Boilers,Electric Generation,"Anthracite Coal, Pulverized",Boiler,coal,CLEIP,0.6,Lb / Ton,5674.26859296,Lb / Ton
10100102,External Combustion Boilers,Electric Generation,Anthracite Coal,"Boiler, Traveling Grate (Overfeed) Stoker",coal,CLEIP,0.6,Lb / Ton,5674.26859296,Lb / Ton
10100201,External Combustion Boilers,Electric Generation,"Bituminous Coal, Pulverized","Boiler, Wet Bottom",coal,CLEIP,0.5,Lb / Ton,4934.21293288,Lb / Ton
10100202,External Combustion Boilers,Electric Generation,"Bituminous Coal, Pulverized","Boiler, Dry Bottom",coal,CLEIP,0.5,Lb / Ton,4934.21293288,Lb / Ton
10100203,External Combustion Boilers,Electric Generation,Bituminous Coal,"Boiler, Cyclone Furnace",coal,CLEIP,0.5,Lb / Ton,4934.21293288,Lb / Ton
10100204,External Combustion Boilers,Electric Generation,Bituminous Coal,"Boiler, Spreader Stoker",coal,CLEIP,5,Lb / Ton,4934.21293288,Lb / Ton
10100205,External Combustion Boilers,Electric Generation,Bituminous Coal,"Boiler, Traveling Grate (Overfeed) Stoker",coal,CLEIP,6,Lb / Ton,4934.21293288,Lb / Ton
10100212,External Combustion Boilers,Electric Generation,"Bituminous Coal, Pulverized","Boiler, Dry Bottom Tangential-fired",coal,CLEIP,0.5,Lb / Ton,4934.21293288,Lb / Ton
10100215,External Combustion Boilers,Electric Generation,Bituminous Coal,Cell Burner,coal,CLEIP,0.5,Lb / Ton,4934.21293288,Lb / Ton
10100217,External Combustion Boilers,Electric Generation,Bituminous Coal,"Boiler, Atmospheric Fluidized Bed Combustion: Bubbling Bed",coal,CLEIP,18,Lb / Ton,4934.21293288,Lb / Ton
10100218,External Combustion Boilers,Electric Generation,Bituminous Coal,"Boiler, Atmospheric Fluidized Bed Combustion: Circulating Bed",coal,CLEIP,18,Lb / Ton,4934.21293288,Lb / Ton
10100221,External Combustion Boilers,Electric Generation,"Subbituminous Coal, Pulverized","Boiler, Wet Bottom",coal,CLEIP,0.5,Lb / Ton,3732.90006254,Lb / Ton
10100222,External Combustion Boilers,Electric Generation,"Subbituminous Coal, Pulverized","Boiler, Dry Bottom",coal,CLEIP,0.5,Lb / Ton,3732.90006254,Lb / Ton
